"Expert","Family","Genus","Species","match_to_tree","Major.Group","Minor.Group","fm_scoring_fruit","seed.min","seed.max","fm_scoring_seed_number","seed.length.min","seed.length.max","seed.width.min","seed.width.max","fm_scoring_pollination1","fm_scoring_pollination2","Corolla.diameter..min...max...prevalent.","Corolla.diameter.min","Corolla.diameter.max","fm_scoring_corolla_diam","Hypanthium.length..min...max...prevalent.","Family.y","Genus.y","Species.y","Genus.b"
"Peter Wilson","Myrtaceae","Taxandria","","Myrtaceae_Taxandria","Leptospermeae","","dry",3,3,"",1,1,NA,NA,"insects","biotic","3.5–6",NA,NA,NA,"0.7–2 mm ","Myrtaceae","Taxandria","","Taxandria"
"Olivier Maurin, Ian Turner","Combretaceae","Terminalia","ankaranensis","Combretaceae_Terminalia","Combretoideae","Combreteae / Terminaliinae","dry",1,1,"1",5,40,NA,NA,"insects","biotic","absent",NA,NA,NA,"2.5 mm","Combretaceae","Terminalia","ankaranensis","Terminalia"
"Fabian Michelangeli","Melastomataceae","Tessmannianthus","quadridomius","Melastomataceae_Tessmannianthus","Melastomatoideae","Astronieae","dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.5",NA,NA,NA,"8.5","Melastomataceae","Tessmannianthus","quadridomius","Tessmannianthus"
"Peter Wilson","Myrtaceae","Tetrapora","preissiana","Myrtaceae_Tetrapora","Chamelaucieae","Hysterobaeckeinae","dry",NA,NA,"",0.4,1.1,NA,NA,"insects","biotic","5.5–6.5 mm ",NA,NA,NA,"0.7–1 mm ","Myrtaceae","Tetrapora","preissiana","Tetrapora"
"Peter Hoch","Onagraceae","Tetrapteron","palmeri","Onagraceae_Tetrapteron","Subfam. Onagroideae","Tribe Onagreae","dry",8,36,"22",1.2,2,NA,NA,"insects","biotic","4; 30; c. 12",4,30,17,"0.8-1.3/ 1.6-3.2 (2 spp.)","Onagraceae","Tetrapteron","palmeri","Tetrapteron"
"Shirley Graham","Lythraceae","Tetrataxis","salicifolia","Lythraceae_Tetrataxis","","","dry",50,50,"50",0.9,1.2,0.2,0.5,NA,NA,"12mm",NA,NA,NA,"13-15 mm; 15 mm","Lythraceae","Tetrataxis","salicifolia","Tetrataxis"
"Fabian Michelangeli","Melastomataceae","Tetrazygia","urceolata","Melastomataceae_Tetrazygia","Melastomatoideae","Miconieae","fleshy",NA,NA,NA,NA,NA,NA,NA,"insects","biotic","5",NA,NA,NA,"4.5","Melastomataceae","Tetrazygia","urceolata","Tetrazygia"
"Peter Wilson","Myrtaceae","Thaleropia","hypargyrea","Myrtaceae_Thaleropia","Tristanieae","","dry",NA,NA,"",1,1,NA,NA,"vertebrates","biotic","9–10 mm ",NA,NA,NA,"3–3.5 mm ","Myrtaceae","Thaleropia","hypargyrea","Thaleropia"
"Peter Wilson","Myrtaceae","Thryptomene","australis","Myrtaceae_Thryptomene","Chamelaucieae","Thryptomeninae","dry",1,2,"",1.4,1.4,NA,NA,"insects","biotic","6–7 mm",NA,NA,NA,"1.5(–2) mm","Myrtaceae","Thryptomene","australis","Thryptomene"
"Fabian Michelangeli","Melastomataceae","Tibouchina","aspera","Melastomataceae_Tibouchina","Melastomatoideae","Melastomateae","dry",100,100,"100",0.6,0.9,NA,NA,"insects","biotic","9; 15",NA,NA,NA,"7; 8","Melastomataceae","Tibouchina","aspera","Tibouchina"
"Fabian Michelangeli","Melastomataceae","Tibouchinopsis","mirabilis","Melastomataceae_Tibouchinopsis","Melastomatoideae","Melastomateae","dry",100,100,"100",0.8,0.8,0.8,0.8,"insects","biotic","17",NA,NA,NA,"5","Melastomataceae","Tibouchinopsis","mirabilis","Tibouchinopsis"
"Darin Penneys","Melastomataceae","Tigridiopalma","magnifica","Melastomataceae_Tigridiopalma","Melastomatoideae","Sonerileae","dry",100,100,"100",NA,NA,NA,NA,"insects","biotic","22; 22; 22",NA,NA,NA,"","Melastomataceae","Tigridiopalma","magnifica","Tigridiopalma"
"Fabian Michelangeli","Melastomataceae","Tococa","guianensis","Melastomataceae_Tococa","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.6,1.2,NA,NA,"insects","biotic","6.5; 15; 11",NA,NA,NA,"5; 7.5","Melastomataceae","Tococa","guianensis","Tococa"
"Shirley Graham","Lythraceae","Trapa","natans","Lythraceae_Trapa","","","fleshy",1,1,"1",10,20,10,20,"insects","biotic","3.5 cm",NA,NA,NA,"2.5-3.5 cm","Lythraceae","Trapa","natans","Trapa"
"Fabian Michelangeli","Melastomataceae","Trembleya","parviflora","Melastomataceae_Trembleya","Melastomatoideae","Microlicieae","dry",100,100,"100",0.7,0.8,NA,NA,"insects","biotic","5; 7",NA,NA,NA,"2.5","Melastomataceae","Trembleya","parviflora","Trembleya"
"Fabian Michelangeli","Melastomataceae","Triolena","amazonica","Melastomataceae_Triolena","Melastomatoideae","Trioleneae","dry",100,100,"100",0.45,0.6,NA,NA,"insects","biotic","6; 7",NA,NA,NA,"4; 5","Melastomataceae","Triolena","amazonica","Triolena"
"Peter Wilson","Myrtaceae","Triplarina","paludosa","Myrtaceae_Triplarina","Chamelaucieae","Rinziinae","dry",6,9,"",0.5,0.8,NA,NA,"insects","biotic","4.5–5 mm",NA,NA,NA,"1.3–1.4 mm","Myrtaceae","Triplarina","paludosa","Triplarina"
"Peter Wilson","Myrtaceae","Tristaniopsis","whiteana","Myrtaceae_Tristaniopsis","Kanieae","","dry",4,12,"",2,5,NA,NA,NA,NA,"1–3 mm",NA,NA,NA,"1–2 mm","Myrtaceae","Tristaniopsis","whiteana","Tristaniopsis"
"Darin Penneys","Melastomataceae","Tristemma","mauritianum","Melastomataceae_Tristemma","Melastomatoideae","Melastomeae-OW","fleshy",100,100,"100",0.2,0.6,NA,NA,"insects","biotic","5; 33; 20",NA,NA,NA,"","Melastomataceae","Tristemma","mauritianum","Tristemma"
"Fabian Michelangeli","Melastomataceae","Tryssophyton","merumense","Melastomataceae_Tryssophyton","Melastomatoideae","Sonerileae","dry",50,50,"50",0.5,0.6,NA,NA,"insects","biotic","11; 13",NA,NA,NA,"2; 2.5","Melastomataceae","Tryssophyton","merumense","Tryssophyton"
NA,NA,NA,NA,"Myrtaceae_Ugni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Ugni","myricoides","Ugni"
NA,NA,NA,NA,"Myrtaceae_Uromyrtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Uromyrtus","","Uromyrtus"
"Peter Wilson","Myrtaceae","Verticordia","huegelii","Myrtaceae_Verticordia","Chamelaucieae","Chamelauciinae","dry",1,1,"",1,1,NA,NA,NA,NA,"3–4 mm",NA,NA,NA,"2–4 mm","Myrtaceae","Verticordia","huegelii","Verticordia"
"Gustavo Shimizu & Deise Gonçalves","Vochysiaceae","Vochysia","guianensis","Vochysiaceae_Vochysia","","","Dry",3,3,"3",15,35,5,12,"insects","biotic","0.4-3.5 cm long",4,35,19.5,"not measured","Vochysiaceae","Vochysia","guianensis","Vochysia"
"Fabian Michelangeli","Melastomataceae","Votomita","guianensis","Melastomataceae_Votomita","Olisbeoideae","Olisbeoideae-NW","fleshy",1,1,"1",6.5,6.5,6.5,6.5,"insects","biotic","5; 6.5",NA,NA,NA,"3; 4","Melastomataceae","Votomita","guianensis","Votomita"
"Fabian Michelangeli","Melastomataceae","Warneckea","","Melastomataceae_Warneckea","Olisbeoideae","Olisbeoideae-OW",NA,NA,NA,NA,NA,NA,NA,NA,"insects","biotic","",NA,NA,NA,"","Melastomataceae","Warneckea","","Warneckea"
"Peter Wilson","Myrtaceae","Welchiodendron","longivalve","Myrtaceae_Welchiodendron","Lophostemoneae","","dry",NA,NA,"",6,8,NA,NA,NA,NA,"20–25 mm ",NA,NA,NA,"1–2 mm","Myrtaceae","Welchiodendron","longivalve","Welchiodendron"
"Peter Wilson","Myrtaceae","Whiteodendron","moultonianum","Myrtaceae_Whiteodendron","Lophostemoneae","","dry",1,1,"",12,12,NA,NA,NA,NA,"c. 23–28 mm",NA,NA,NA,"3–4 mm","Myrtaceae","Whiteodendron","moultonianum","Whiteodendron"
"Shirley Graham","Lythraceae","Woodfordia","fruticosa","Lythraceae_Woodfordia","","","dry",50,50,"50",0.7,1,0.2,0.3,"insects, vertebrates","biotic","3-4 mm",NA,NA,NA,"15-17 mm","Lythraceae","Woodfordia","fruticosa","Woodfordia"
"Fabian Michelangeli","Melastomataceae","Wurdastom","hexamera","Melastomataceae_Wurdastom","Melastomatoideae","Cyphostyleae","dry",100,100,"100",0.5,0.6,NA,NA,"insects","biotic","4; 5",NA,NA,NA,"3","Melastomataceae","Wurdastom","hexamera","Wurdastom"
"Peter Wilson","Myrtaceae","Xanthomyrtus","","Myrtaceae_Xanthomyrtus","Tristanieae","","fleshy",NA,NA,"",1,1.5,NA,NA,"insects","biotic","c. 11–13",NA,NA,NA,"2–2.5 mm","Myrtaceae","Xanthomyrtus","","Xanthomyrtus"
NA,NA,NA,NA,"Melastomataceae_Brasilianthus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasilianthus"
NA,NA,NA,NA,"Melastomataceae_Physeterostemon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Physeterostemon"
NA,NA,NA,NA,"Myrtaceae_Pimenta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pimenta"
NA,NA,NA,NA,"Myrtaceae_Xanthostemon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xanthostemon"
NA,NA,NA,NA,"Onagraceae_Camissoniopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Camissoniopsis"
NA,NA,NA,NA,"Onagraceae_Taraxia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taraxia"
