"","(Intercept)","CHELSA_bio10_02","CHELSA_bio10_11","CHELSA_bio10_17","depthtobedrock2","Dry.or.Fleshy.Fruit","GLOBAL_SLOPE_10MIN","main_habitat","Mean.Corolla.Diameter","Mean.Seed.Length","Mean.Seed.Number.per.Fruit","meancarbon","meanpH","meanwatercap","Most.Common.Life.Form","df","logLik","AICc","delta","weight","rsqs"
"9031",59.4120265208849,NA,-11.5498284787146,0.280096820918191,NA,NA,NA,"+",NA,0.0528282797630453,0.0383200786626763,NA,NA,NA,"+",8,-383.215955747278,783.095505964602,22.1623484469269,1.88452471542016e-07,0.08
"5502",-12.623728313987,1.6707188699754,NA,0.634280201053465,-0.16806659725694,"+",-0.108635467044371,"+",NA,0.132389804392102,NA,-0.394934535065104,NA,0.248342025255482,NA,11,-379.932279692333,783.09820424448,22.1650467268042,1.8819839421759e-07,0.106
"10313",-28.4588171576311,NA,NA,NA,1.80711536915026,NA,NA,"+",NA,NA,NA,NA,3.61853319008873,NA,"+",6,-385.35737287659,783.098307397016,22.1651498793403,1.88188687897073e-07,0.062
"13287",99.0311892132902,NA,-17.0499712218772,0.434659715649236,NA,NA,-0.0655532474058653,"+",0.0356219941488941,0.0471669007404905,0.0551872840077698,NA,NA,-3.31711973360118,"+",11,-379.93347938702,783.100603633854,22.1674461161783,1.87972748983694e-07,0.106
"14362",-29.4211283669988,0.770753791791895,NA,NA,1.67969486305937,"+",NA,NA,NA,NA,NA,NA,2.30647773258967,1.26321508083642,"+",8,-383.219175185091,783.101944840228,22.1687873225529,1.87846736116138e-07,0.08
"7135",-18.9402777332285,NA,-3.86542656414098,0.535092981320214,1.80202190602539,"+",NA,"+",0.09776980441899,0.145777079222143,0.0763590436903893,NA,6.66176228218411,-0.947977533962913,NA,12,-378.818765277625,783.102319287644,22.1691617699687,1.87811570045752e-07,0.115
"896",6.89126810227762,1.7123684229489,-3.67401993914998,0.506793630256327,-0.0499449813520317,"+",-0.236786938108984,"+",NA,0.143088712548039,0.103699310886083,NA,NA,NA,NA,11,-379.934975566929,783.10359599367,22.1704384759946,1.87691718222101e-07,0.106
"13223",97.0204449637484,NA,-16.6081099251932,0.360125455623402,NA,NA,-0.128739098842767,NA,0.039811712799381,0.0456560799009653,0.0627559600685067,NA,NA,-3.34139548203745,"+",10,-381.04026519029,783.103786194533,22.1706286768573,1.87673869507463e-07,0.098
"12613",-0.981334071644037,NA,NA,0.371515736096679,NA,NA,NA,"+",NA,0.0324866930906974,NA,NA,NA,-1.94349317701357,"+",7,-384.301011120976,783.115783709841,22.1826261921659,1.86551429435153e-07,0.071
"13103",96.1314394222531,NA,-16.7855110475779,0.355208999097607,0.36528134880676,NA,-0.111393990027127,NA,NA,0.0606783766646073,0.0704945880119204,NA,NA,-3.31748348284464,"+",10,-381.048393847967,783.120043509888,22.1868859922123,1.8615451638388e-07,0.097
"10377",-24.1871889487479,NA,NA,NA,1.34404116447611,NA,NA,NA,0.09455349640351,NA,NA,NA,3.08807807930168,NA,"+",6,-385.369892724497,783.12334709283,22.1901895751541,1.85847281755069e-07,0.062
"8323",56.9653538071344,NA,-10.8657761278863,NA,NA,NA,NA,NA,0.0908431410916727,NA,NA,NA,NA,NA,"+",5,-386.42594570832,783.124618689367,22.1914611716917,1.85729157930513e-07,0.053
"4960",33.1892893643678,1.50268435332021,-7.58967965352204,0.543700389177812,0.294325033908503,"+",NA,"+",NA,0.14899396001758,0.0970311974107883,NA,NA,-1.79738542347506,NA,11,-379.945525032957,783.124694925727,22.1915374080515,1.85722078407983e-07,0.106
